Artikelnummer,Attributname,Attributwert
SFP-50G-BX40U-I,FAQ,"Welche Datenrate überträgt SFP-50G-BX40U-I?||SFP-50G-BX40U-I überträgt 25/50 Gbit/s gemäß 25/50GBASE-BR40 BiDi (Upstream, Industrie).##Welchen Formfaktor und Anschluss hat SFP-50G-BX40U-I?||SFP-50G-BX40U-I ist im Formfaktor SFP56 ausgeführt mit Anschluss LC (Simplex, Einzelfaser).##Welche Reichweite erzielt SFP-50G-BX40U-I?||SFP-50G-BX40U-I überbrückt 40 km bei Tx 1289 nm / Rx 1314 nm.##Unterstützt SFP-50G-BX40U-I digitales Diagnose-Monitoring (DOM/DDM)?||DOM/DDM-Unterstützung bei SFP-50G-BX40U-I: Ja (DOM/DDM).##In welchem Temperaturbereich arbeitet SFP-50G-BX40U-I?||SFP-50G-BX40U-I arbeitet laut Datenblatt im Bereich -40 bis 85 °C.##Wofür wird SFP-50G-BX40U-I eingesetzt?||SFP-50G-BX40U-I ist ausgelegt für Metro-/Weitverkehrsnetz.##Wie wird SFP-50G-BX40U-I mit Strom versorgt?||SFP-50G-BX40U-I bezieht die Versorgung über den Host-Port; ein externes Netzteil ist nicht erforderlich."
SFP-50G-ER-I,FAQ,"Welche Datenrate überträgt SFP-50G-ER-I?||SFP-50G-ER-I überträgt 25/50 Gbit/s gemäß IEEE 25/50GBASE-ER (Industrie).##Welchen Formfaktor und Anschluss hat SFP-50G-ER-I?||SFP-50G-ER-I ist im Formfaktor SFP56 ausgeführt mit Anschluss Duplex LC.##Welche Reichweite erzielt SFP-50G-ER-I?||SFP-50G-ER-I überbrückt 40 km bei 1310 nm.##Unterstützt SFP-50G-ER-I digitales Diagnose-Monitoring (DOM/DDM)?||DOM/DDM-Unterstützung bei SFP-50G-ER-I: Ja (DOM/DDM).##In welchem Temperaturbereich arbeitet SFP-50G-ER-I?||SFP-50G-ER-I arbeitet laut Datenblatt im Bereich -40 bis 85 °C.##Wofür wird SFP-50G-ER-I eingesetzt?||SFP-50G-ER-I ist ausgelegt für Metro-/Weitverkehrsnetz.##Wie wird SFP-50G-ER-I mit Strom versorgt?||SFP-50G-ER-I bezieht die Versorgung über den Host-Port; ein externes Netzteil ist nicht erforderlich."
QDD-2Q200-CU3M,FAQ,"Welche Datenrate überträgt QDD-2Q200-CU3M?||QDD-2Q200-CU3M überträgt 400 Gbit/s (2× 200G) gemäß 2× 200GBASE-CR4 (Twinax, passiv).##Welchen Formfaktor und Anschluss hat QDD-2Q200-CU3M?||QDD-2Q200-CU3M ist im Formfaktor QSFP-DD ausgeführt mit Anschluss 1× QSFP-DD auf 2× QSFP56 (fest konfektioniert).##Welche Länge und welchen Kabeltyp hat QDD-2Q200-CU3M?||QDD-2Q200-CU3M hat eine Länge von 3 m und ist als Twinax-Kupfer, passiv ausgeführt.##Unterstützt QDD-2Q200-CU3M digitales Diagnose-Monitoring (DOM/DDM)?||DOM/DDM-Unterstützung bei QDD-2Q200-CU3M: Nein.##In welchem Temperaturbereich arbeitet QDD-2Q200-CU3M?||QDD-2Q200-CU3M arbeitet laut Datenblatt im Bereich 0 bis 70 °C.##Wofür wird QDD-2Q200-CU3M eingesetzt?||QDD-2Q200-CU3M ist ausgelegt für Rechenzentrum (Top-of-Rack-/Row-Verkabelung).##Benötigt QDD-2Q200-CU3M eine eigene Stromversorgung?||Nein. QDD-2Q200-CU3M ist ein passives Kabel ohne aktive Elektronik und ohne externe Stromversorgung."
QDD-400G-VR4,FAQ,"Welche Datenrate überträgt QDD-400G-VR4?||QDD-400G-VR4 überträgt 400 Gbit/s gemäß 400GBASE-VR4.##Welchen Formfaktor und Anschluss hat QDD-400G-VR4?||QDD-400G-VR4 ist im Formfaktor QSFP-DD ausgeführt mit Anschluss MPO-12 APC.##Welche Reichweite erzielt QDD-400G-VR4?||QDD-400G-VR4 überbrückt 30 m (OM3) / 50 m (OM4/OM5) bei 842–948 nm.##Unterstützt QDD-400G-VR4 digitales Diagnose-Monitoring (DOM/DDM)?||DOM/DDM-Unterstützung bei QDD-400G-VR4: Ja (DOM/DDM).##In welchem Temperaturbereich arbeitet QDD-400G-VR4?||QDD-400G-VR4 arbeitet laut Datenblatt im Bereich 0 bis 75 °C.##Wofür wird QDD-400G-VR4 eingesetzt?||QDD-400G-VR4 ist ausgelegt für Rechenzentrum (Kurzstrecke).##Wie wird QDD-400G-VR4 mit Strom versorgt?||QDD-400G-VR4 bezieht die Versorgung über den Host-Port; ein externes Netzteil ist nicht erforderlich."
QDD-400G-SR8-S,FAQ,"Welche Datenrate überträgt QDD-400G-SR8-S?||QDD-400G-SR8-S überträgt 400 Gbit/s gemäß 400GBASE-SR8.##Welchen Formfaktor und Anschluss hat QDD-400G-SR8-S?||QDD-400G-SR8-S ist im Formfaktor QSFP-DD ausgeführt mit Anschluss MPO-16 APC.##Welche Reichweite erzielt QDD-400G-SR8-S?||QDD-400G-SR8-S überbrückt 70 m (OM3) / 100 m (OM4) bei 850 nm.##Unterstützt QDD-400G-SR8-S digitales Diagnose-Monitoring (DOM/DDM)?||DOM/DDM-Unterstützung bei QDD-400G-SR8-S: Ja (DOM/DDM).##In welchem Temperaturbereich arbeitet QDD-400G-SR8-S?||QDD-400G-SR8-S arbeitet laut Datenblatt im Bereich 0 bis 75 °C.##Wofür wird QDD-400G-SR8-S eingesetzt?||QDD-400G-SR8-S ist ausgelegt für Rechenzentrum (Kurzstrecke).##Wie wird QDD-400G-SR8-S mit Strom versorgt?||QDD-400G-SR8-S bezieht die Versorgung über den Host-Port; ein externes Netzteil ist nicht erforderlich."
QDD-400G-SR4.2-BD,FAQ,"Welche Datenrate überträgt QDD-400G-SR4.2-BD?||QDD-400G-SR4.2-BD überträgt 400 Gbit/s gemäß 400GBASE-SR4.2 (BiDi).##Welchen Formfaktor und Anschluss hat QDD-400G-SR4.2-BD?||QDD-400G-SR4.2-BD ist im Formfaktor QSFP-DD ausgeführt mit Anschluss MPO-12 UPC.##Welche Reichweite erzielt QDD-400G-SR4.2-BD?||QDD-400G-SR4.2-BD überbrückt 70 m (OM3) / 100 m (OM4) / 150 m (OM5) bei 850, 908 nm.##Unterstützt QDD-400G-SR4.2-BD digitales Diagnose-Monitoring (DOM/DDM)?||DOM/DDM-Unterstützung bei QDD-400G-SR4.2-BD: Ja (DOM/DDM).##In welchem Temperaturbereich arbeitet QDD-400G-SR4.2-BD?||QDD-400G-SR4.2-BD arbeitet laut Datenblatt im Bereich 0 bis 75 °C.##Wofür wird QDD-400G-SR4.2-BD eingesetzt?||QDD-400G-SR4.2-BD ist ausgelegt für Rechenzentrum (Kurzstrecke).##Wie wird QDD-400G-SR4.2-BD mit Strom versorgt?||QDD-400G-SR4.2-BD bezieht die Versorgung über den Host-Port; ein externes Netzteil ist nicht erforderlich."
QDD-400G-BD,FAQ,"Welche Datenrate überträgt QDD-400G-BD?||QDD-400G-BD überträgt 400 Gbit/s gemäß 400G BiDi.##Welchen Formfaktor und Anschluss hat QDD-400G-BD?||QDD-400G-BD ist im Formfaktor QSFP-DD ausgeführt mit Anschluss Duplex LC (UPC).##Welche Reichweite erzielt QDD-400G-BD?||QDD-400G-BD überbrückt 50 m (OM3) / 70 m (OM4) / 100 m (OM5) bei 850, 880, 910, 940 nm.##Unterstützt QDD-400G-BD digitales Diagnose-Monitoring (DOM/DDM)?||DOM/DDM-Unterstützung bei QDD-400G-BD: Ja (DOM/DDM).##In welchem Temperaturbereich arbeitet QDD-400G-BD?||QDD-400G-BD arbeitet laut Datenblatt im Bereich 0 bis 65 °C.##Wofür wird QDD-400G-BD eingesetzt?||QDD-400G-BD ist ausgelegt für Rechenzentrum (Kurzstrecke).##Wie wird QDD-400G-BD mit Strom versorgt?||QDD-400G-BD bezieht die Versorgung über den Host-Port; ein externes Netzteil ist nicht erforderlich."
QDD-4X100G-FR-S,FAQ,"Welche Datenrate überträgt QDD-4X100G-FR-S?||QDD-4X100G-FR-S überträgt 4× 100 Gbit/s (400G) gemäß 4× 100GBASE-FR1.##Welchen Formfaktor und Anschluss hat QDD-4X100G-FR-S?||QDD-4X100G-FR-S ist im Formfaktor QSFP-DD ausgeführt mit Anschluss MPO-12 APC.##Welche Reichweite erzielt QDD-4X100G-FR-S?||QDD-4X100G-FR-S überbrückt 2 km bei 1310 nm.##Unterstützt QDD-4X100G-FR-S digitales Diagnose-Monitoring (DOM/DDM)?||DOM/DDM-Unterstützung bei QDD-4X100G-FR-S: Ja (DOM/DDM).##In welchem Temperaturbereich arbeitet QDD-4X100G-FR-S?||QDD-4X100G-FR-S arbeitet laut Datenblatt im Bereich 0 bis 75 °C.##Wofür wird QDD-4X100G-FR-S eingesetzt?||QDD-4X100G-FR-S ist ausgelegt für Campus-/Metro-Netz (Langstrecke).##Wie wird QDD-4X100G-FR-S mit Strom versorgt?||QDD-4X100G-FR-S bezieht die Versorgung über den Host-Port; ein externes Netzteil ist nicht erforderlich."
CPAK-100G-LR4-2K,FAQ,"Welche Datenrate überträgt CPAK-100G-LR4-2K?||CPAK-100G-LR4-2K überträgt 100 Gbit/s (4×25G) gemäß IEEE 802.3ba 100GBASE-LR4 / ITU OTU4.##Welchen Formfaktor und Anschluss hat CPAK-100G-LR4-2K?||CPAK-100G-LR4-2K ist im Formfaktor CPAK ausgeführt mit Anschluss Dual SC/PC.##Welche Reichweite erzielt CPAK-100G-LR4-2K?||CPAK-100G-LR4-2K überbrückt 10 km bei 1295,56 / 1300,05 / 1304,58 / 1309,14 nm (LAN-WDM, 4 Lanes).##Unterstützt CPAK-100G-LR4-2K digitales Diagnose-Monitoring (DOM/DDM)?||DOM/DDM-Unterstützung bei CPAK-100G-LR4-2K: Ja (DOM).##In welchem Temperaturbereich arbeitet CPAK-100G-LR4-2K?||CPAK-100G-LR4-2K arbeitet laut Datenblatt im Bereich 0 bis 70 °C.##Wofür wird CPAK-100G-LR4-2K eingesetzt?||CPAK-100G-LR4-2K ist ausgelegt für Campus-/Metro-Netz (Langstrecke).##Wie wird CPAK-100G-LR4-2K mit Strom versorgt?||CPAK-100G-LR4-2K bezieht die Versorgung über den Host-Port; ein externes Netzteil ist nicht erforderlich."
CPAK-10X10G-LR,FAQ,"Welche Datenrate überträgt CPAK-10X10G-LR?||CPAK-10X10G-LR überträgt 10×10 Gbit/s gemäß IEEE 802.3ae 10GBASE-LR / FC / ITU OTU2.##Welchen Formfaktor und Anschluss hat CPAK-10X10G-LR?||CPAK-10X10G-LR ist im Formfaktor CPAK ausgeführt mit Anschluss MPO/MTP-24 APC.##Welche Reichweite erzielt CPAK-10X10G-LR?||CPAK-10X10G-LR überbrückt 10 km bei 1310 nm (10 Lanes).##Unterstützt CPAK-10X10G-LR digitales Diagnose-Monitoring (DOM/DDM)?||DOM/DDM-Unterstützung bei CPAK-10X10G-LR: Ja (DOM).##In welchem Temperaturbereich arbeitet CPAK-10X10G-LR?||CPAK-10X10G-LR arbeitet laut Datenblatt im Bereich 0 bis 70 °C.##Wofür wird CPAK-10X10G-LR eingesetzt?||CPAK-10X10G-LR ist ausgelegt für Campus-/Metro-Netz (Langstrecke).##Wie wird CPAK-10X10G-LR mit Strom versorgt?||CPAK-10X10G-LR bezieht die Versorgung über den Host-Port; ein externes Netzteil ist nicht erforderlich."
CPAK-100G-FR,FAQ,"Welche Datenrate überträgt CPAK-100G-FR?||CPAK-100G-FR überträgt 100 Gbit/s (PAM4, 1λ) gemäß 100G Lambda MSA (PAM4).##Welchen Formfaktor und Anschluss hat CPAK-100G-FR?||CPAK-100G-FR ist im Formfaktor CPAK ausgeführt mit Anschluss Dual LC.##Welche Reichweite erzielt CPAK-100G-FR?||CPAK-100G-FR überbrückt 2 km bei 1310 nm.##Unterstützt CPAK-100G-FR digitales Diagnose-Monitoring (DOM/DDM)?||DOM/DDM-Unterstützung bei CPAK-100G-FR: Ja (DOM).##In welchem Temperaturbereich arbeitet CPAK-100G-FR?||CPAK-100G-FR arbeitet laut Datenblatt im Bereich 0 bis 70 °C.##Wofür wird CPAK-100G-FR eingesetzt?||CPAK-100G-FR ist ausgelegt für Campus-/Metro-Netz (Langstrecke).##Wie wird CPAK-100G-FR mit Strom versorgt?||CPAK-100G-FR bezieht die Versorgung über den Host-Port; ein externes Netzteil ist nicht erforderlich."
GLC-GE-100FX,FAQ,"Welche Datenrate überträgt GLC-GE-100FX?||GLC-GE-100FX überträgt 100 Mbit/s (Fast Ethernet) gemäß IEEE 100BASE-FX (für GigE-Ports).##Welchen Formfaktor und Anschluss hat GLC-GE-100FX?||GLC-GE-100FX ist im Formfaktor SFP ausgeführt mit Anschluss Duplex LC.##Welche Reichweite erzielt GLC-GE-100FX?||GLC-GE-100FX überbrückt 2 km bei 1300 nm.##Unterstützt GLC-GE-100FX digitales Diagnose-Monitoring (DOM/DDM)?||DOM/DDM-Unterstützung bei GLC-GE-100FX: Nicht spezifiziert.##In welchem Temperaturbereich arbeitet GLC-GE-100FX?||GLC-GE-100FX arbeitet laut Datenblatt im Bereich 0 bis 70 °C.##Wofür wird GLC-GE-100FX eingesetzt?||GLC-GE-100FX ist ausgelegt für Campus-/Metro-Netz (Langstrecke).##Wie wird GLC-GE-100FX mit Strom versorgt?||GLC-GE-100FX bezieht die Versorgung über den Host-Port; ein externes Netzteil ist nicht erforderlich."
GLC-FE-T-I,FAQ,"Welche Datenrate überträgt GLC-FE-T-I?||GLC-FE-T-I überträgt 100 Mbit/s (Fast Ethernet) gemäß IEEE 100BASE-T.##Welchen Formfaktor und Anschluss hat GLC-FE-T-I?||GLC-FE-T-I ist im Formfaktor SFP ausgeführt mit Anschluss RJ-45.##Welche Reichweite erzielt GLC-FE-T-I?||GLC-FE-T-I überbrückt 100 m.##Unterstützt GLC-FE-T-I digitales Diagnose-Monitoring (DOM/DDM)?||DOM/DDM-Unterstützung bei GLC-FE-T-I: Nein.##In welchem Temperaturbereich arbeitet GLC-FE-T-I?||GLC-FE-T-I arbeitet laut Datenblatt im Bereich -40 bis 85 °C.##Wofür wird GLC-FE-T-I eingesetzt?||GLC-FE-T-I ist ausgelegt für Zugriffs-/Verteilnetz (Kupfer).##Wie wird GLC-FE-T-I mit Strom versorgt?||GLC-FE-T-I bezieht die Versorgung über den Host-Port; ein externes Netzteil ist nicht erforderlich."
XFP10GLR192SR-RGD,FAQ,"Welche Datenrate überträgt XFP10GLR192SR-RGD?||XFP10GLR192SR-RGD überträgt 10 Gbit/s gemäß 10GBASE-LR/-LW, OC-192/STM-64 SR-1 (Multirate).##Welchen Formfaktor und Anschluss hat XFP10GLR192SR-RGD?||XFP10GLR192SR-RGD ist im Formfaktor XFP ausgeführt mit Anschluss Duplex LC (PC/UPC).##Welche Reichweite erzielt XFP10GLR192SR-RGD?||XFP10GLR192SR-RGD überbrückt 10 km (10GbE) / 2 km (OC-192 SR-1) bei 1310 nm.##Unterstützt XFP10GLR192SR-RGD digitales Diagnose-Monitoring (DOM/DDM)?||DOM/DDM-Unterstützung bei XFP10GLR192SR-RGD: Ja (DOM).##In welchem Temperaturbereich arbeitet XFP10GLR192SR-RGD?||XFP10GLR192SR-RGD arbeitet laut Datenblatt im Bereich -40 bis 85 °C.##Wofür wird XFP10GLR192SR-RGD eingesetzt?||XFP10GLR192SR-RGD ist ausgelegt für Transportnetz (SONET/SDH).##Wie wird XFP10GLR192SR-RGD mit Strom versorgt?||XFP10GLR192SR-RGD bezieht die Versorgung über den Host-Port; ein externes Netzteil ist nicht erforderlich."
X2-10GB-T,FAQ,"Welche Datenrate überträgt X2-10GB-T?||X2-10GB-T überträgt 10 Gbit/s gemäß IEEE 802.3an 10GBASE-T.##Welchen Formfaktor und Anschluss hat X2-10GB-T?||X2-10GB-T ist im Formfaktor X2 ausgeführt mit Anschluss RJ-45.##Welche Reichweite erzielt X2-10GB-T?||X2-10GB-T überbrückt 100 m.##Unterstützt X2-10GB-T digitales Diagnose-Monitoring (DOM/DDM)?||DOM/DDM-Unterstützung bei X2-10GB-T: Nein.##In welchem Temperaturbereich arbeitet X2-10GB-T?||X2-10GB-T arbeitet laut Datenblatt im Bereich Commercial (0 °C bis +70 °C).##Wofür wird X2-10GB-T eingesetzt?||X2-10GB-T ist ausgelegt für Zugriffs-/Verteilnetz (Kupfer).##Wie wird X2-10GB-T mit Strom versorgt?||X2-10GB-T bezieht die Versorgung über den Host-Port; ein externes Netzteil ist nicht erforderlich."
OSFP-800G-VR8,FAQ,"Welche Datenrate überträgt OSFP-800G-VR8?||OSFP-800G-VR8 überträgt 800 Gbit/s (8× 100G) gemäß IEEE 802.3 800GBASE-VR8.##Welchen Formfaktor und Anschluss hat OSFP-800G-VR8?||OSFP-800G-VR8 ist im Formfaktor OSFP ausgeführt mit Anschluss Dual MPO-12 APC.##Welche Reichweite erzielt OSFP-800G-VR8?||OSFP-800G-VR8 überbrückt 30 m (OM3) / 50 m (OM4/OM5) bei 850 nm (842–948 nm).##Unterstützt OSFP-800G-VR8 digitales Diagnose-Monitoring (DOM/DDM)?||DOM/DDM-Unterstützung bei OSFP-800G-VR8: Ja (VDM, CMIS 5.3).##In welchem Temperaturbereich arbeitet OSFP-800G-VR8?||OSFP-800G-VR8 arbeitet laut Datenblatt im Bereich 0 bis 70 °C.##Wofür wird OSFP-800G-VR8 eingesetzt?||OSFP-800G-VR8 ist ausgelegt für Rechenzentrum (Kurzstrecke).##Wie wird OSFP-800G-VR8 mit Strom versorgt?||OSFP-800G-VR8 bezieht die Versorgung über den Host-Port; ein externes Netzteil ist nicht erforderlich."
OSFP-800G-VR8P,FAQ,"Welche Datenrate überträgt OSFP-800G-VR8P?||OSFP-800G-VR8P überträgt 800 Gbit/s (8× 100G) gemäß IEEE 802.3 800GBASE-VR8.##Welchen Formfaktor und Anschluss hat OSFP-800G-VR8P?||OSFP-800G-VR8P ist im Formfaktor OSFP ausgeführt mit Anschluss MPO-16 APC.##Welche Reichweite erzielt OSFP-800G-VR8P?||OSFP-800G-VR8P überbrückt 30 m (OM3) / 50 m (OM4/OM5) bei 850 nm (842–948 nm).##Unterstützt OSFP-800G-VR8P digitales Diagnose-Monitoring (DOM/DDM)?||DOM/DDM-Unterstützung bei OSFP-800G-VR8P: Ja (VDM, CMIS 5.3).##In welchem Temperaturbereich arbeitet OSFP-800G-VR8P?||OSFP-800G-VR8P arbeitet laut Datenblatt im Bereich 0 bis 70 °C.##Wofür wird OSFP-800G-VR8P eingesetzt?||OSFP-800G-VR8P ist ausgelegt für Rechenzentrum (Kurzstrecke).##Wie wird OSFP-800G-VR8P mit Strom versorgt?||OSFP-800G-VR8P bezieht die Versorgung über den Host-Port; ein externes Netzteil ist nicht erforderlich."
OSFP-800G-DR8,FAQ,"Welche Datenrate überträgt OSFP-800G-DR8?||OSFP-800G-DR8 überträgt 800 Gbit/s (8× 100G) gemäß IEEE 802.3 800GBASE-DR8.##Welchen Formfaktor und Anschluss hat OSFP-800G-DR8?||OSFP-800G-DR8 ist im Formfaktor OSFP ausgeführt mit Anschluss Dual MPO-12 APC.##Welche Reichweite erzielt OSFP-800G-DR8?||OSFP-800G-DR8 überbrückt 500 m bei 1310 nm.##Unterstützt OSFP-800G-DR8 digitales Diagnose-Monitoring (DOM/DDM)?||DOM/DDM-Unterstützung bei OSFP-800G-DR8: Ja (VDM, CMIS 5.3).##In welchem Temperaturbereich arbeitet OSFP-800G-DR8?||OSFP-800G-DR8 arbeitet laut Datenblatt im Bereich 0 bis 70 °C.##Wofür wird OSFP-800G-DR8 eingesetzt?||OSFP-800G-DR8 ist ausgelegt für Rechenzentrum (Kurzstrecke).##Wie wird OSFP-800G-DR8 mit Strom versorgt?||OSFP-800G-DR8 bezieht die Versorgung über den Host-Port; ein externes Netzteil ist nicht erforderlich."
OSFP-800G-DR8P,FAQ,"Welche Datenrate überträgt OSFP-800G-DR8P?||OSFP-800G-DR8P überträgt 800 Gbit/s (8× 100G) gemäß IEEE 802.3 800GBASE-DR8.##Welchen Formfaktor und Anschluss hat OSFP-800G-DR8P?||OSFP-800G-DR8P ist im Formfaktor OSFP ausgeführt mit Anschluss MPO-16 APC.##Welche Reichweite erzielt OSFP-800G-DR8P?||OSFP-800G-DR8P überbrückt 500 m bei 1310 nm.##Unterstützt OSFP-800G-DR8P digitales Diagnose-Monitoring (DOM/DDM)?||DOM/DDM-Unterstützung bei OSFP-800G-DR8P: Ja (VDM, CMIS 5.3).##In welchem Temperaturbereich arbeitet OSFP-800G-DR8P?||OSFP-800G-DR8P arbeitet laut Datenblatt im Bereich 0 bis 70 °C.##Wofür wird OSFP-800G-DR8P eingesetzt?||OSFP-800G-DR8P ist ausgelegt für Rechenzentrum (Kurzstrecke).##Wie wird OSFP-800G-DR8P mit Strom versorgt?||OSFP-800G-DR8P bezieht die Versorgung über den Host-Port; ein externes Netzteil ist nicht erforderlich."
OSFP-2X400G-FR4,FAQ,"Welche Datenrate überträgt OSFP-2X400G-FR4?||OSFP-2X400G-FR4 überträgt 2× 400 Gbit/s (800G) gemäß IEEE 802.3 400GBASE-FR4 (2× / 800GE).##Welchen Formfaktor und Anschluss hat OSFP-2X400G-FR4?||OSFP-2X400G-FR4 ist im Formfaktor OSFP ausgeführt mit Anschluss Dual Duplex LC (UPC).##Welche Reichweite erzielt OSFP-2X400G-FR4?||OSFP-2X400G-FR4 überbrückt 2 km bei 1270 / 1290 / 1310 / 1330 nm (CWDM).##Unterstützt OSFP-2X400G-FR4 digitales Diagnose-Monitoring (DOM/DDM)?||DOM/DDM-Unterstützung bei OSFP-2X400G-FR4: Ja (VDM, CMIS 5.3).##In welchem Temperaturbereich arbeitet OSFP-2X400G-FR4?||OSFP-2X400G-FR4 arbeitet laut Datenblatt im Bereich 0 bis 70 °C.##Wofür wird OSFP-2X400G-FR4 eingesetzt?||OSFP-2X400G-FR4 ist ausgelegt für Campus-/Metro-Netz (Langstrecke).##Wie wird OSFP-2X400G-FR4 mit Strom versorgt?||OSFP-2X400G-FR4 bezieht die Versorgung über den Host-Port; ein externes Netzteil ist nicht erforderlich."
QSFP-2Q200-CU3M,FAQ,"Welche Datenrate überträgt QSFP-2Q200-CU3M?||QSFP-2Q200-CU3M überträgt 200 Gbit/s (2×100G Breakout) gemäß 2× 200GBASE-CR4 (OIF CEI-56G-VSR-PAM4).##Welchen Formfaktor und Anschluss hat QSFP-2Q200-CU3M?||QSFP-2Q200-CU3M ist im Formfaktor QSFP-DD ausgeführt mit Anschluss QSFP-DD auf 2× QSFP56.##Welche Länge und welchen Kabeltyp hat QSFP-2Q200-CU3M?||QSFP-2Q200-CU3M hat eine Länge von 3 m und ist als Twinax-Kupfer, passiv ausgeführt.##Unterstützt QSFP-2Q200-CU3M digitales Diagnose-Monitoring (DOM/DDM)?||DOM/DDM-Unterstützung bei QSFP-2Q200-CU3M: Nein.##In welchem Temperaturbereich arbeitet QSFP-2Q200-CU3M?||QSFP-2Q200-CU3M arbeitet laut Datenblatt im Bereich 0 bis 70 °C.##Wofür wird QSFP-2Q200-CU3M eingesetzt?||QSFP-2Q200-CU3M ist ausgelegt für Rechenzentrum (Top-of-Rack-/Row-Verkabelung).##Benötigt QSFP-2Q200-CU3M eine eigene Stromversorgung?||Nein. QSFP-2Q200-CU3M ist ein passives Kabel ohne aktive Elektronik und ohne externe Stromversorgung."
QSFP-200G-SR4-S,FAQ,"Welche Datenrate überträgt QSFP-200G-SR4-S?||QSFP-200G-SR4-S überträgt 200 Gbit/s (4× 50G PAM4) gemäß IEEE 802.3 200GBASE-SR4.##Welchen Formfaktor und Anschluss hat QSFP-200G-SR4-S?||QSFP-200G-SR4-S ist im Formfaktor QSFP56 ausgeführt mit Anschluss MPO-12 (UPC).##Welche Reichweite erzielt QSFP-200G-SR4-S?||QSFP-200G-SR4-S überbrückt 70 m (OM3) / 100 m (OM4/OM5) bei 850 nm.##Unterstützt QSFP-200G-SR4-S digitales Diagnose-Monitoring (DOM/DDM)?||DOM/DDM-Unterstützung bei QSFP-200G-SR4-S: Ja (CMIS-Modulmanagement).##In welchem Temperaturbereich arbeitet QSFP-200G-SR4-S?||QSFP-200G-SR4-S arbeitet laut Datenblatt im Bereich 0 bis 70 °C.##Wofür wird QSFP-200G-SR4-S eingesetzt?||QSFP-200G-SR4-S ist ausgelegt für Rechenzentrum (Kurzstrecke).##Wie wird QSFP-200G-SR4-S mit Strom versorgt?||QSFP-200G-SR4-S bezieht die Versorgung über den Host-Port; ein externes Netzteil ist nicht erforderlich."
QSFP-200G-SL4,FAQ,"Welche Datenrate überträgt QSFP-200G-SL4?||QSFP-200G-SL4 überträgt 200 Gbit/s (4× 50G PAM4) gemäß 200GBASE-SR4 (Short Link / -SL4).##Welchen Formfaktor und Anschluss hat QSFP-200G-SL4?||QSFP-200G-SL4 ist im Formfaktor QSFP56 ausgeführt mit Anschluss MPO-12 (UPC).##Welche Reichweite erzielt QSFP-200G-SL4?||QSFP-200G-SL4 überbrückt 20 m (OM3) / 30 m (OM4/OM5) bei 850 nm.##Unterstützt QSFP-200G-SL4 digitales Diagnose-Monitoring (DOM/DDM)?||DOM/DDM-Unterstützung bei QSFP-200G-SL4: Ja (CMIS-Modulmanagement).##In welchem Temperaturbereich arbeitet QSFP-200G-SL4?||QSFP-200G-SL4 arbeitet laut Datenblatt im Bereich 0 bis 70 °C.##Wofür wird QSFP-200G-SL4 eingesetzt?||QSFP-200G-SL4 ist ausgelegt für Rechenzentrum (Kurzstrecke).##Wie wird QSFP-200G-SL4 mit Strom versorgt?||QSFP-200G-SL4 bezieht die Versorgung über den Host-Port; ein externes Netzteil ist nicht erforderlich."
QSFP-200G-FR4-S,FAQ,"Welche Datenrate überträgt QSFP-200G-FR4-S?||QSFP-200G-FR4-S überträgt 200 Gbit/s (4× 50G PAM4) gemäß IEEE 802.3 200GBASE-FR4.##Welchen Formfaktor und Anschluss hat QSFP-200G-FR4-S?||QSFP-200G-FR4-S ist im Formfaktor QSFP56 ausgeführt mit Anschluss Duplex LC (PC/UPC).##Welche Reichweite erzielt QSFP-200G-FR4-S?||QSFP-200G-FR4-S überbrückt 2 km bei 1270 / 1290 / 1310 / 1330 nm (CWDM).##Unterstützt QSFP-200G-FR4-S digitales Diagnose-Monitoring (DOM/DDM)?||DOM/DDM-Unterstützung bei QSFP-200G-FR4-S: Ja (CMIS-Modulmanagement).##In welchem Temperaturbereich arbeitet QSFP-200G-FR4-S?||QSFP-200G-FR4-S arbeitet laut Datenblatt im Bereich 0 bis 70 °C.##Wofür wird QSFP-200G-FR4-S eingesetzt?||QSFP-200G-FR4-S ist ausgelegt für Campus-/Metro-Netz (Langstrecke).##Wie wird QSFP-200G-FR4-S mit Strom versorgt?||QSFP-200G-FR4-S bezieht die Versorgung über den Host-Port; ein externes Netzteil ist nicht erforderlich."
