Artikelnummer;Artikelname;Kurzbeschreibung;Beschreibung;URL-Pfad;Artikelgewicht;Versandgewicht;HAN;Hersteller;Versandklasse;Verkaufseinheit;Titel-Tag (SEO);Meta-Description (SEO);Kategorie Ebene 1;Kategorie Ebene 2;Kategorie Ebene 3;Überverkauf Plattform Hexwaren;Bestandsführung aktiv;Überverkäufe möglich
QDD-400G-SRBD;Arista QDD-400G-SRBD 400G QSFP-DD 400GBASE-SR4.2-Transceiver – parallele Multimode-Glasfaser (MMF) (OM3/OM4), MPO-12, bis zu 100 m;<p>Der Arista QDD-400G-SRBD ist ein 400-Gigabit-QSFP-DD-Transceiver vom Typ 400GBASE-SR4.2 für parallele Multimode-Glasfaser (MMF) (OM3/OM4). Über den mpo-12-anschluss überbrückt bis zu 100 m.</p><p>Das Modul ist im laufenden Betrieb tauschbar (Hot-Plug) und auf Arista-Switches mit QSFP-DD-Steckplätzen unter EOS abgestimmt. Laut Datenblatt arbeitet das QDD-400G-SRBD nach 400GBASE-SR4.2 bei 850 / 910 nm (BiDi, MMF) und erreicht bis zu 100 m.</p>;"<p>Der Arista QDD-400G-SRBD ist ein 400-Gigabit-Transceiver im QSFP-DD-Formfaktor nach 400GBASE-SR4.2 und überträgt 400 Gbit/s über parallele Multimode-Glasfaser (MMF) (OM3/OM4).</p><p>Der Arista QDD-400G-SRBD arbeitet über den MPO-12-Anschluss und erreicht eine Reichweite von bis zu 100 m; die Sendewellenlänge liegt bei 850 / 910 nm (BiDi, MMF), der Betrieb ist für ein Gehäusetemperaturfenster von 0 bis 70 °C spezifiziert.</p><p>Das QDD-400G-SRBD ist im laufenden Betrieb steckbar (Hot-Plug), für den Betrieb unter Arista EOS qualifiziert. Laut Datenblatt die Betriebswellenlänge 850 / 910 nm (BiDi, MMF), die Reichweite bis zu 100 m; der Betriebstemperaturbereich liegt bei 0 bis 70 °C. Originaler Arista-Transceiver für den professionellen Einsatz in Arista-Netzwerkumgebungen.</p>";arista/qdd-400g-srbd;0,06;0,22;QDD-400G-SRBD;Arista;standard;Stk;Arista QDD-400G-SRBD 400G QSFP-DD 400GBASE-SR4.2 | Hexwaren;Original Arista QDD-400G-SRBD: 400GBASE-SR4. 2 400-Gigabit-Transceiver (QSFP-DD), Multimode, MPO-12, bis zu 100 m. Für Arista-Switches (EOS).;Netzwerk & Infrastruktur;Transceivers & SFP Module;QSFP-DD;TRUE;Y;Y
QDD-400G-DR4;Arista QDD-400G-DR4 400G QSFP-DD 400GBASE-DR4-Transceiver – parallele Singlemode-Glasfaser (SMF), MPO-12, bis zu 500 m;<p>Der Arista QDD-400G-DR4 ist ein 400-Gigabit-QSFP-DD-Transceiver vom Typ 400GBASE-DR4 für parallele Singlemode-Glasfaser (SMF). Über den mpo-12-anschluss überbrückt bis zu 500 m.</p><p>Das Modul ist im laufenden Betrieb tauschbar (Hot-Plug) und auf Arista-Switches mit QSFP-DD-Steckplätzen unter EOS abgestimmt. Laut Datenblatt arbeitet das QDD-400G-DR4 nach 400GBASE-DR4 bei 1310 nm (parallele SMF) und erreicht bis zu 500 m.</p>;"<p>Der Arista QDD-400G-DR4 ist ein 400-Gigabit-Transceiver im QSFP-DD-Formfaktor nach 400GBASE-DR4 und überträgt 400 Gbit/s über parallele Singlemode-Glasfaser (SMF).</p><p>Der Arista QDD-400G-DR4 arbeitet über den MPO-12-Anschluss und erreicht eine Reichweite von bis zu 500 m; die Sendewellenlänge liegt bei 1310 nm (parallele SMF), der Betrieb ist für ein Gehäusetemperaturfenster von 0 bis 70 °C spezifiziert.</p><p>Das QDD-400G-DR4 ist im laufenden Betrieb steckbar (Hot-Plug), für den Betrieb unter Arista EOS qualifiziert. Laut Datenblatt der Transceiver-Typ DR4, die Betriebswellenlänge 1310 nm (parallele SMF), die Reichweite bis zu 500 m; der Betriebstemperaturbereich liegt bei 0 bis 70 °C. Originaler Arista-Transceiver für den professionellen Einsatz in Arista-Netzwerkumgebungen.</p>";arista/qdd-400g-dr4;0,06;0,22;QDD-400G-DR4;Arista;standard;Stk;Arista QDD-400G-DR4 400G QSFP-DD 400GBASE-DR4 | Hexwaren;Original Arista QDD-400G-DR4: 400GBASE-DR4 400-Gigabit-Transceiver (QSFP-DD), Singlemode, MPO-12, bis zu 500 m. Für Arista-Switches (EOS) Rechenzentrum (Kurzstrecke).;Netzwerk & Infrastruktur;Transceivers & SFP Module;QSFP-DD;TRUE;Y;Y
QDD-400G-XDR4;Arista QDD-400G-XDR4 400G QSFP-DD 100GBASE-FR-Transceiver – parallele Singlemode-Glasfaser (SMF), MPO-12, bis zu 2 km;<p>Der Arista QDD-400G-XDR4 ist ein 400-Gigabit-QSFP-DD-Transceiver vom Typ 100GBASE-FR für parallele Singlemode-Glasfaser (SMF). Über den mpo-12-anschluss überbrückt bis zu 2 km.</p><p>Das Modul ist im laufenden Betrieb tauschbar (Hot-Plug) und auf Arista-Switches mit QSFP-DD-Steckplätzen unter EOS abgestimmt. Laut Datenblatt arbeitet das QDD-400G-XDR4 nach 100GBASE-FR bei 1310 nm (parallele SMF) und erreicht bis zu 2 km.</p>;"<p>Der Arista QDD-400G-XDR4 ist ein 400-Gigabit-Transceiver im QSFP-DD-Formfaktor nach 100GBASE-FR und überträgt 400 Gbit/s über parallele Singlemode-Glasfaser (SMF).</p><p>Der Arista QDD-400G-XDR4 arbeitet über den MPO-12-Anschluss und erreicht eine Reichweite von bis zu 2 km; die Sendewellenlänge liegt bei 1310 nm (parallele SMF), der Betrieb ist für ein Gehäusetemperaturfenster von 0 bis 70 °C spezifiziert.</p><p>Das QDD-400G-XDR4 ist im laufenden Betrieb steckbar (Hot-Plug), für den Betrieb unter Arista EOS qualifiziert. Laut Datenblatt die Betriebswellenlänge 1310 nm (parallele SMF), die Reichweite bis zu 2 km; der Betriebstemperaturbereich liegt bei 0 bis 70 °C. Originaler Arista-Transceiver für den professionellen Einsatz in Arista-Netzwerkumgebungen.</p>";arista/qdd-400g-xdr4;0,06;0,22;QDD-400G-XDR4;Arista;standard;Stk;Arista QDD-400G-XDR4 400G QSFP-DD 100GBASE-FR | Hexwaren;Original Arista QDD-400G-XDR4: 100GBASE-FR 400-Gigabit-Transceiver (QSFP-DD), Singlemode, MPO-12, bis zu 2 km. Für Arista-Switches (EOS) Campus-/Metro-Netz (Langstrecke).;Netzwerk & Infrastruktur;Transceivers & SFP Module;QSFP-DD;TRUE;Y;Y
QDD-400G-XDR4-S;Arista QDD-400G-XDR4-S 400G QSFP-DD 100GBASE-FR-Transceiver – parallele Singlemode-Glasfaser (SMF), SN, bis zu 2 km;<p>Der Arista QDD-400G-XDR4-S ist ein 400-Gigabit-QSFP-DD-Transceiver vom Typ 100GBASE-FR für parallele Singlemode-Glasfaser (SMF). Über den sn-anschluss überbrückt bis zu 2 km.</p><p>Das Modul ist im laufenden Betrieb tauschbar (Hot-Plug) und auf Arista-Switches mit QSFP-DD-Steckplätzen unter EOS abgestimmt. Laut Datenblatt arbeitet das QDD-400G-XDR4-S nach 100GBASE-FR bei 1310 nm (parallele SMF) und erreicht bis zu 2 km.</p>;"<p>Der Arista QDD-400G-XDR4-S ist ein 400-Gigabit-Transceiver im QSFP-DD-Formfaktor nach 100GBASE-FR und überträgt 400 Gbit/s über parallele Singlemode-Glasfaser (SMF).</p><p>Der Arista QDD-400G-XDR4-S erreicht eine Reichweite von bis zu 2 km; die Sendewellenlänge liegt bei 1310 nm (parallele SMF), der Betrieb ist für ein Gehäusetemperaturfenster von 0 bis 70 °C spezifiziert.</p><p>Das QDD-400G-XDR4-S ist im laufenden Betrieb steckbar (Hot-Plug), für den Betrieb unter Arista EOS qualifiziert. Laut Datenblatt arbeitet das QDD-400G-XDR4-S nach 100GBASE-FR bei 1310 nm (parallele SMF) und erreicht bis zu 2 km. Das QDD-400G-XDR4-S ist für parallele Singlemode-Glasfaser (SMF) ausgelegt und im Temperaturbereich 0 bis 70 °C spezifiziert. Originaler Arista-Transceiver für den professionellen Einsatz in Arista-Netzwerkumgebungen.</p>";arista/qdd-400g-xdr4-s;0,06;0,22;QDD-400G-XDR4-S;Arista;standard;Stk;Arista QDD-400G-XDR4-S 400G QSFP-DD 100GBASE-FR | Hexwaren;Original Arista QDD-400G-XDR4-S: 100GBASE-FR 400-Gigabit-Transceiver (QSFP-DD), Singlemode, SN, bis zu 2 km. Für Arista-Switches (EOS) Campus-/Metro-Netz (Langstrecke).;Netzwerk & Infrastruktur;Transceivers & SFP Module;QSFP-DD;TRUE;Y;Y
QDD-400G-PLR4;Arista QDD-400G-PLR4 400G QSFP-DD 100GBASE-LR-Transceiver – parallele Singlemode-Glasfaser (SMF), MPO-12, bis zu 10 km;<p>Der Arista QDD-400G-PLR4 ist ein 400-Gigabit-QSFP-DD-Transceiver vom Typ 100GBASE-LR für parallele Singlemode-Glasfaser (SMF). Über den mpo-12-anschluss überbrückt bis zu 10 km.</p><p>Das Modul ist im laufenden Betrieb tauschbar (Hot-Plug) und auf Arista-Switches mit QSFP-DD-Steckplätzen unter EOS abgestimmt. Laut Datenblatt arbeitet das QDD-400G-PLR4 nach 100GBASE-LR bei 1295–1310 nm (LAN-WDM, 4 Wellenlängen) und erreicht bis zu 10 km.</p>;"<p>Der Arista QDD-400G-PLR4 ist ein 400-Gigabit-Transceiver im QSFP-DD-Formfaktor nach 100GBASE-LR und überträgt 400 Gbit/s über parallele Singlemode-Glasfaser (SMF).</p><p>Der Arista QDD-400G-PLR4 arbeitet über den MPO-12-Anschluss und erreicht eine Reichweite von bis zu 10 km; die Sendewellenlänge liegt bei 1295–1310 nm (LAN-WDM, 4 Wellenlängen), der Betrieb ist für ein Gehäusetemperaturfenster von 0 bis 70 °C spezifiziert.</p><p>Das QDD-400G-PLR4 ist im laufenden Betrieb steckbar (Hot-Plug), für den Betrieb unter Arista EOS qualifiziert. Laut Datenblatt der Transceiver-Typ PLR4, die Betriebswellenlänge 1295–1310 nm (LAN-WDM, 4 Wellenlängen), die Reichweite bis zu 10 km; der Betriebstemperaturbereich liegt bei 0 bis 70 °C. Originaler Arista-Transceiver für den professionellen Einsatz in Arista-Netzwerkumgebungen.</p>";arista/qdd-400g-plr4;0,06;0,22;QDD-400G-PLR4;Arista;standard;Stk;Arista QDD-400G-PLR4 400G QSFP-DD 100GBASE-LR | Hexwaren;Original Arista QDD-400G-PLR4: 100GBASE-LR 400-Gigabit-Transceiver (QSFP-DD), Singlemode, MPO-12, bis zu 10 km. Für Arista-Switches (EOS) Campus-/Metro-Netz (Langstrecke).;Netzwerk & Infrastruktur;Transceivers & SFP Module;QSFP-DD;TRUE;Y;Y
QDD-400G-PLR4-S;Arista QDD-400G-PLR4-S 400G QSFP-DD 100GBASE-LR-Transceiver – parallele Singlemode-Glasfaser (SMF), SN, bis zu 10 km;<p>Der Arista QDD-400G-PLR4-S ist ein 400-Gigabit-QSFP-DD-Transceiver vom Typ 100GBASE-LR für parallele Singlemode-Glasfaser (SMF). Über den sn-anschluss überbrückt bis zu 10 km.</p><p>Das Modul ist im laufenden Betrieb tauschbar (Hot-Plug) und auf Arista-Switches mit QSFP-DD-Steckplätzen unter EOS abgestimmt. Laut Datenblatt arbeitet das QDD-400G-PLR4-S nach 100GBASE-LR bei 1295–1310 nm (LAN-WDM, 4 Wellenlängen) und erreicht bis zu 10 km.</p>;"<p>Der Arista QDD-400G-PLR4-S ist ein 400-Gigabit-Transceiver im QSFP-DD-Formfaktor nach 100GBASE-LR und überträgt 400 Gbit/s über parallele Singlemode-Glasfaser (SMF).</p><p>Der Arista QDD-400G-PLR4-S erreicht eine Reichweite von bis zu 10 km; die Sendewellenlänge liegt bei 1295–1310 nm (LAN-WDM, 4 Wellenlängen), der Betrieb ist für ein Gehäusetemperaturfenster von 0 bis 70 °C spezifiziert.</p><p>Das QDD-400G-PLR4-S ist im laufenden Betrieb steckbar (Hot-Plug), für den Betrieb unter Arista EOS qualifiziert. Laut Datenblatt der Transceiver-Typ PLR4, die Betriebswellenlänge 1295–1310 nm (LAN-WDM, 4 Wellenlängen), die Reichweite bis zu 10 km; der Betriebstemperaturbereich liegt bei 0 bis 70 °C. Originaler Arista-Transceiver für den professionellen Einsatz in Arista-Netzwerkumgebungen.</p>";arista/qdd-400g-plr4-s;0,06;0,22;QDD-400G-PLR4-S;Arista;standard;Stk;Arista QDD-400G-PLR4-S 400G QSFP-DD 100GBASE-LR | Hexwaren;Original Arista QDD-400G-PLR4-S: 100GBASE-LR 400-Gigabit-Transceiver (QSFP-DD), Singlemode, SN, bis zu 10 km. Für Arista-Switches (EOS) Campus-/Metro-Netz (Langstrecke).;Netzwerk & Infrastruktur;Transceivers & SFP Module;QSFP-DD;TRUE;Y;Y
QDD-400G-FR4;Arista QDD-400G-FR4 400G QSFP-DD 400GBASE-FR4-Transceiver – Singlemode-Glasfaser (SMF), LC (Duplex), bis zu 2 km;<p>Der Arista QDD-400G-FR4 ist ein 400-Gigabit-QSFP-DD-Transceiver vom Typ 400GBASE-FR4 für Singlemode-Glasfaser (SMF). Über den lc (duplex)-anschluss überbrückt bis zu 2 km.</p><p>Das Modul ist im laufenden Betrieb tauschbar (Hot-Plug) und auf Arista-Switches mit QSFP-DD-Steckplätzen unter EOS abgestimmt. Laut Datenblatt arbeitet das QDD-400G-FR4 nach 400GBASE-FR4 bei 1271–1331 nm (CWDM, 4 Wellenlängen) und erreicht bis zu 2 km.</p>;"<p>Der Arista QDD-400G-FR4 ist ein 400-Gigabit-Transceiver im QSFP-DD-Formfaktor nach 400GBASE-FR4 und überträgt 400 Gbit/s über Singlemode-Glasfaser (SMF).</p><p>Der Arista QDD-400G-FR4 arbeitet über den LC (Duplex)-Anschluss und erreicht eine Reichweite von bis zu 2 km; die Sendewellenlänge liegt bei 1271–1331 nm (CWDM, 4 Wellenlängen), der Betrieb ist für ein Gehäusetemperaturfenster von 0 bis 70 °C spezifiziert.</p><p>Das QDD-400G-FR4 ist im laufenden Betrieb steckbar (Hot-Plug), für den Betrieb unter Arista EOS qualifiziert. Laut Datenblatt der Transceiver-Typ FR4, die Betriebswellenlänge 1271–1331 nm (CWDM, 4 Wellenlängen), die Reichweite bis zu 2 km; der Betriebstemperaturbereich liegt bei 0 bis 70 °C. Originaler Arista-Transceiver für den professionellen Einsatz in Arista-Netzwerkumgebungen.</p>";arista/qdd-400g-fr4;0,06;0,22;QDD-400G-FR4;Arista;standard;Stk;Arista QDD-400G-FR4 400G QSFP-DD 400GBASE-FR4 | Hexwaren;Original Arista QDD-400G-FR4: 400GBASE-FR4 400-Gigabit-Transceiver (QSFP-DD), Singlemode, LC (Duplex), bis zu 2 km. Für Arista-Switches (EOS).;Netzwerk & Infrastruktur;Transceivers & SFP Module;QSFP-DD;TRUE;Y;Y
QDD-400G-LR4;Arista QDD-400G-LR4 400G QSFP-DD 400GBASE-LR4-Transceiver – Singlemode-Glasfaser (SMF), LC (Duplex), bis zu 10 km;<p>Der Arista QDD-400G-LR4 ist ein 400-Gigabit-QSFP-DD-Transceiver vom Typ 400GBASE-LR4 für Singlemode-Glasfaser (SMF). Über den lc (duplex)-anschluss überbrückt bis zu 10 km.</p><p>Das Modul ist im laufenden Betrieb tauschbar (Hot-Plug) und auf Arista-Switches mit QSFP-DD-Steckplätzen unter EOS abgestimmt. Laut Datenblatt arbeitet das QDD-400G-LR4 nach 400GBASE-LR4 bei 1295–1310 nm (LAN-WDM, 4 Wellenlängen) und erreicht bis zu 10 km.</p>;"<p>Der Arista QDD-400G-LR4 ist ein 400-Gigabit-Transceiver im QSFP-DD-Formfaktor nach 400GBASE-LR4 und überträgt 400 Gbit/s über Singlemode-Glasfaser (SMF).</p><p>Der Arista QDD-400G-LR4 arbeitet über den LC (Duplex)-Anschluss und erreicht eine Reichweite von bis zu 10 km; die Sendewellenlänge liegt bei 1295–1310 nm (LAN-WDM, 4 Wellenlängen), der Betrieb ist für ein Gehäusetemperaturfenster von 0 bis 70 °C spezifiziert.</p><p>Das QDD-400G-LR4 ist im laufenden Betrieb steckbar (Hot-Plug), für den Betrieb unter Arista EOS qualifiziert. Laut Datenblatt der Transceiver-Typ LR4, die Betriebswellenlänge 1295–1310 nm (LAN-WDM, 4 Wellenlängen), die Reichweite bis zu 10 km; der Betriebstemperaturbereich liegt bei 0 bis 70 °C. Originaler Arista-Transceiver für den professionellen Einsatz in Arista-Netzwerkumgebungen.</p>";arista/qdd-400g-lr4;0,06;0,22;QDD-400G-LR4;Arista;standard;Stk;Arista QDD-400G-LR4 400G QSFP-DD 400GBASE-LR4 | Hexwaren;Original Arista QDD-400G-LR4: 400GBASE-LR4 400-Gigabit-Transceiver (QSFP-DD), Singlemode, LC (Duplex), bis zu 10 km. Für Arista-Switches (EOS).;Netzwerk & Infrastruktur;Transceivers & SFP Module;QSFP-DD;TRUE;Y;Y
QDD-400G-LR8;Arista QDD-400G-LR8 400G QSFP-DD 400GBASE-LR8-Transceiver – Singlemode-Glasfaser (SMF), LC (Duplex), bis zu 10 km;<p>Der Arista QDD-400G-LR8 ist ein 400-Gigabit-QSFP-DD-Transceiver vom Typ 400GBASE-LR8 für Singlemode-Glasfaser (SMF). Über den lc (duplex)-anschluss überbrückt bis zu 10 km.</p><p>Das Modul ist im laufenden Betrieb tauschbar (Hot-Plug) und auf Arista-Switches mit QSFP-DD-Steckplätzen unter EOS abgestimmt. Laut Datenblatt arbeitet das QDD-400G-LR8 nach 400GBASE-LR8 bei 1295–1310 nm (LAN-WDM, 8 Wellenlängen) und erreicht bis zu 10 km.</p>;"<p>Der Arista QDD-400G-LR8 ist ein 400-Gigabit-Transceiver im QSFP-DD-Formfaktor nach 400GBASE-LR8 und überträgt 400 Gbit/s über Singlemode-Glasfaser (SMF).</p><p>Der Arista QDD-400G-LR8 arbeitet über den LC (Duplex)-Anschluss und erreicht eine Reichweite von bis zu 10 km; die Sendewellenlänge liegt bei 1295–1310 nm (LAN-WDM, 8 Wellenlängen), der Betrieb ist für ein Gehäusetemperaturfenster von 0 bis 70 °C spezifiziert.</p><p>Das QDD-400G-LR8 ist im laufenden Betrieb steckbar (Hot-Plug), für den Betrieb unter Arista EOS qualifiziert. Laut Datenblatt der Transceiver-Typ LR8, die Betriebswellenlänge 1295–1310 nm (LAN-WDM, 8 Wellenlängen), die Reichweite bis zu 10 km; der Betriebstemperaturbereich liegt bei 0 bis 70 °C. Originaler Arista-Transceiver für den professionellen Einsatz in Arista-Netzwerkumgebungen.</p>";arista/qdd-400g-lr8;0,06;0,22;QDD-400G-LR8;Arista;standard;Stk;Arista QDD-400G-LR8 400G QSFP-DD 400GBASE-LR8 | Hexwaren;Original Arista QDD-400G-LR8: 400GBASE-LR8 400-Gigabit-Transceiver (QSFP-DD), Singlemode, LC (Duplex), bis zu 10 km. Für Arista-Switches (EOS).;Netzwerk & Infrastruktur;Transceivers & SFP Module;QSFP-DD;TRUE;Y;Y
QDD-400G-ZR;Arista QDD-400G-ZR 400G QSFP-DD 400GBASE-ZR-Transceiver – Singlemode-Glasfaser (SMF), LC (Duplex), bis zu 120 km;<p>Der Arista QDD-400G-ZR ist ein 400-Gigabit-QSFP-DD-Transceiver vom Typ 400GBASE-ZR für Singlemode-Glasfaser (SMF). Über den lc (duplex)-anschluss überbrückt bis zu 120 km.</p><p>Das Modul ist im laufenden Betrieb tauschbar (Hot-Plug) und auf Arista-Switches mit QSFP-DD-Steckplätzen unter EOS abgestimmt. Laut Datenblatt arbeitet das QDD-400G-ZR nach 400GBASE-ZR bei C-Band, durchstimmbar (ca. 1530–1565 nm) und erreicht bis zu 120 km.</p>;"<p>Der Arista QDD-400G-ZR ist ein 400-Gigabit-Transceiver im QSFP-DD-Formfaktor nach 400GBASE-ZR und überträgt 400 Gbit/s über Singlemode-Glasfaser (SMF).</p><p>Der Arista QDD-400G-ZR arbeitet über den LC (Duplex)-Anschluss und erreicht eine Reichweite von bis zu 120 km; die Sendewellenlänge liegt bei C-Band, durchstimmbar (ca. 1530–1565 nm), der Betrieb ist für ein Gehäusetemperaturfenster von 0 bis 70 °C spezifiziert.</p><p>Das QDD-400G-ZR ist im laufenden Betrieb steckbar (Hot-Plug), für den Betrieb unter Arista EOS qualifiziert. Laut Datenblatt der Transceiver-Typ ZR, die Betriebswellenlänge C-Band, durchstimmbar (ca. 1530–1565 nm), die Reichweite bis zu 120 km; der Betriebstemperaturbereich liegt bei 0 bis 70 °C. Originaler Arista-Transceiver für den professionellen Einsatz in Arista-Netzwerkumgebungen.</p>";arista/qdd-400g-zr;0,06;0,22;QDD-400G-ZR;Arista;standard;Stk;Arista QDD-400G-ZR 400G QSFP-DD 400GBASE-ZR | Hexwaren;Original Arista QDD-400G-ZR: 400GBASE-ZR 400-Gigabit-Transceiver (QSFP-DD), Singlemode, LC (Duplex), bis zu 120 km. Für Arista-Switches (EOS).;Netzwerk & Infrastruktur;Transceivers & SFP Module;QSFP-DD;TRUE;Y;Y
QDD-400G-ZRP;Arista QDD-400G-ZRP 400G QSFP-DD 400GBASE-ZR-Transceiver;<p>Der Arista QDD-400G-ZRP ist ein 400-Gigabit-QSFP-DD-Transceiver vom Typ 400GBASE-ZR. Das Modul stellt die Verbindung bereit.</p><p>Das Modul ist im laufenden Betrieb tauschbar (Hot-Plug) und auf Arista-Switches mit QSFP-DD-Steckplätzen unter EOS abgestimmt. Vor dem Einsatz ist die Freigabe für Plattform und EOS-Version zu prüfen.</p>;"<p>Der Arista QDD-400G-ZRP ist ein 400-Gigabit-Transceiver im QSFP-DD-Formfaktor nach 400GBASE-ZR und überträgt 400 Gbit/s.</p><p>Der Arista QDD-400G-ZRP ist auf 400-Gigabit-Verbindungen ausgelegt; die Sendewellenlänge liegt bei C-Band, durchstimmbar (ca. 1530–1565 nm), der Betrieb ist für ein Gehäusetemperaturfenster von 0 bis 70 °C spezifiziert.</p><p>Das QDD-400G-ZRP ist im laufenden Betrieb steckbar (Hot-Plug), für den Betrieb unter Arista EOS qualifiziert. Laut Datenblatt die Betriebswellenlänge C-Band, durchstimmbar (ca. 1530–1565 nm); der Betriebstemperaturbereich liegt bei 0 bis 70 °C. Laut Datenblatt arbeitet das QDD-400G-ZRP nach 400GBASE-ZR bei C-Band, durchstimmbar (ca. 1530–1565 nm). Originaler Arista-Transceiver für den professionellen Einsatz in Arista-Netzwerkumgebungen.</p>";arista/qdd-400g-zrp;0,06;0,22;QDD-400G-ZRP;Arista;standard;Stk;Arista QDD-400G-ZRP 400G QSFP-DD 400GBASE-ZR | Hexwaren;Original Arista QDD-400G-ZRP: 400GBASE-ZR 400-Gigabit-Transceiver (QSFP-DD). Für Arista-Switches (EOS) Verlässliche Optik für Rechenzentrum und Campus.;Netzwerk & Infrastruktur;Transceivers & SFP Module;QSFP-DD;TRUE;Y;Y
QDD-200G-2LR4;Arista QDD-200G-2LR4 200G QSFP-DD 100GBASE-LR4-Transceiver – Singlemode-Glasfaser (SMF), CS, bis zu 10 km;<p>Der Arista QDD-200G-2LR4 ist ein 200-Gigabit-QSFP-DD-Transceiver vom Typ 100GBASE-LR4 für Singlemode-Glasfaser (SMF). Über den cs-anschluss überbrückt bis zu 10 km.</p><p>Das Modul ist im laufenden Betrieb tauschbar (Hot-Plug) und auf Arista-Switches mit QSFP-DD-Steckplätzen unter EOS abgestimmt. Laut Datenblatt arbeitet das QDD-200G-2LR4 nach 100GBASE-LR4 bei 1295–1310 nm (LAN-WDM, 4 Wellenlängen) und erreicht bis zu 10 km.</p>;"<p>Der Arista QDD-200G-2LR4 ist ein 200-Gigabit-Transceiver im QSFP-DD-Formfaktor nach 100GBASE-LR4 und überträgt 200 Gbit/s über Singlemode-Glasfaser (SMF).</p><p>Der Arista QDD-200G-2LR4 arbeitet über den LC (Duplex)-Anschluss und erreicht eine Reichweite von bis zu 10 km; die Sendewellenlänge liegt bei 1295–1310 nm (LAN-WDM, 4 Wellenlängen), der Betrieb ist für ein Gehäusetemperaturfenster von 0 bis 70 °C spezifiziert.</p><p>Das QDD-200G-2LR4 ist im laufenden Betrieb steckbar (Hot-Plug), für den Betrieb unter Arista EOS qualifiziert. Laut Datenblatt die Betriebswellenlänge 1295–1310 nm (LAN-WDM, 4 Wellenlängen), die Reichweite bis zu 10 km; der Betriebstemperaturbereich liegt bei 0 bis 70 °C. Originaler Arista-Transceiver für den professionellen Einsatz in Arista-Netzwerkumgebungen.</p>";arista/qdd-200g-2lr4;0,06;0,22;QDD-200G-2LR4;Arista;standard;Stk;Arista QDD-200G-2LR4 200G QSFP-DD 100GBASE-LR4 | Hexwaren;Original Arista QDD-200G-2LR4: 100GBASE-LR4 200-Gigabit-Transceiver (QSFP-DD), Singlemode, CS, bis zu 10 km. Für Arista-Switches (EOS) Campus-/Metro-Netz (Langstrecke).;Netzwerk & Infrastruktur;Transceivers & SFP Module;QSFP-DD;TRUE;Y;Y
QDD-8X25-MR-SR-E;Arista QDD-8X25-MR-SR-E 200G QSFP-DD 25GBASE-SR-Transceiver – parallele Multimode-Glasfaser (MMF), MPO-16, bis zu 400 m;<p>Der Arista QDD-8X25-MR-SR-E ist ein 200-Gigabit-QSFP-DD-Transceiver vom Typ 25GBASE-SR für parallele Multimode-Glasfaser (MMF). Über den mpo-16-anschluss überbrückt bis zu 400 m.</p><p>Das Modul ist im laufenden Betrieb tauschbar (Hot-Plug) und auf Arista-Switches mit QSFP-DD-Steckplätzen unter EOS abgestimmt. Laut Datenblatt arbeitet das QDD-8X25-MR-SR-E nach 25GBASE-SR bei 850 nm (MMF) und erreicht bis zu 400 m.</p>;"<p>Der Arista QDD-8X25-MR-SR-E ist ein 200-Gigabit-Transceiver im QSFP-DD-Formfaktor nach 25GBASE-SR und überträgt 200 Gbit/s über parallele Multimode-Glasfaser (MMF).</p><p>Der Arista QDD-8X25-MR-SR-E arbeitet über den MPO-16-Anschluss und erreicht eine Reichweite von bis zu 400 m; die Sendewellenlänge liegt bei 850 nm (MMF), der Betrieb ist für ein Gehäusetemperaturfenster von 0 bis 70 °C spezifiziert.</p><p>Das QDD-8X25-MR-SR-E ist im laufenden Betrieb steckbar (Hot-Plug), für den Betrieb unter Arista EOS qualifiziert. Laut Datenblatt der Transceiver-Typ SR, die Betriebswellenlänge 850 nm (MMF), die Reichweite bis zu 400 m; der Betriebstemperaturbereich liegt bei 0 bis 70 °C. Originaler Arista-Transceiver für den professionellen Einsatz in Arista-Netzwerkumgebungen.</p>";arista/qdd-8x25-mr-sr-e;0,06;0,22;QDD-8X25-MR-SR-E;Arista;standard;Stk;Arista QDD-8X25-MR-SR-E 200G QSFP-DD 25GBASE-SR | Hexwaren;Original Arista QDD-8X25-MR-SR-E: 25GBASE-SR 200-Gigabit-Transceiver (QSFP-DD), Multimode, MPO-16, bis zu 400 m. Für Arista-Switches (EOS) Rechenzentrum (Kurzstrecke).;Netzwerk & Infrastruktur;Transceivers & SFP Module;QSFP-DD;TRUE;Y;Y
